,first_name,name,year,rank,genre
0,A.,14/1 endlos,1998,7.0,Short
1,A.,A&E Biography: Jackie Gleason - Great One,2002,,Documentary
2,A.,Aftershocks,1998,,Drama
3,A.,"Ambasadori, cautam patrie",2003,4.0,Comedy
4,A.,Animali pazzi,1939,5.0,Comedy
5,A.,Anitzvatznere,1991,,Crime
6,A.,Anitzvatznere,1991,,Drama
7,A.,Ankokugai no kaoyaku,1959,,Crime
8,A.,Ankokugai no kaoyaku,1959,,Drama
9,A.,Around the Equator on Roller Skates,1932,,Short
10,A.,Barbut,1993,,Short
11,A.,Barsaat,1949,7.5,Drama
12,A.,Barsaat,1949,7.5,Musical
13,A.,Barsaat,1949,7.5,Romance
14,A.,"Beautiful Liar, The",1918,,Short
15,A.,"Bianco, il giallo, il nero, Il",1975,4.6,Adventure
16,A.,"Bianco, il giallo, il nero, Il",1975,4.6,Comedy
17,A.,"Bianco, il giallo, il nero, Il",1975,4.6,Western
18,A.,"Big Empty, The",2003,6.0,Comedy
19,A.,"Big Empty, The",2003,6.0,Drama
20,A.,"Big Empty, The",2003,6.0,Mystery
21,A.,"Big Sombrero, The",1949,5.9,Western
22,A.,Blame It on the Samba,1948,5.8,Animation
23,A.,Blame It on the Samba,1948,5.8,Comedy
24,A.,Blame It on the Samba,1948,5.8,Family
25,A.,Blame It on the Samba,1948,5.8,Music
26,A.,Blame It on the Samba,1948,5.8,Short
27,A.,Blood Tide,1982,3.1,Adventure
28,A.,Blood Tide,1982,3.1,Horror
29,A.,Building a Kayak: Part 1,1967,,Documentary
30,A.,Building a Kayak: Part 1,1967,,Short
31,A.,Call Waiting,1991,5.0,Short
32,A.,Camping-Camping,1977,,Comedy
33,A.,Caspar David Friedrich - Grenzen der Zeit,1986,6.2,Drama
34,A.,Cats & Dogs 2: Tinkles' Revenge,2005,,Action
35,A.,Cats & Dogs 2: Tinkles' Revenge,2005,,Adventure
36,A.,Cats & Dogs 2: Tinkles' Revenge,2005,,Animation
37,A.,Cats & Dogs 2: Tinkles' Revenge,2005,,Comedy
38,A.,Cats & Dogs 2: Tinkles' Revenge,2005,,Family
39,A.,Cats & Dogs 2: Tinkles' Revenge,2005,,Fantasy
40,A.,"Christmas Carol, A",2000,,Drama
41,A.,"Christmas Carol, A",2000,,Family
42,A.,"Christmas Carol, A",2000,,Fantasy
43,A.,"Christmas Carol, A",2000,,Horror
44,A.,Claws for Alarm,1954,8.0,Animation
45,A.,Claws for Alarm,1954,8.0,Comedy
46,A.,Claws for Alarm,1954,8.0,Family
47,A.,Claws for Alarm,1954,8.0,Horror
48,A.,Claws for Alarm,1954,8.0,Short
49,A.,"Clown's Triumph, The",1912,,Drama
50,A.,"Clown's Triumph, The",1912,,Romance
51,A.,"Clown's Triumph, The",1912,,Short
52,A.,Clunked in the Clink,1949,,Comedy
53,A.,Clunked in the Clink,1949,,Short
54,A.,"Crackerjack, The",1925,,Comedy
55,A.,Craig's Wife,1928,,Drama
56,A.,Cresceranno i carciofi a Mimongo,1996,6.1,Comedy
57,A.,"Cugino americano, Il",1986,6.3,Crime
58,A.,Daily Chicken,1997,,Horror
59,A.,David Cross: Let America Laugh,2003,,Comedy
60,A.,David Cross: Let America Laugh,2003,,Documentary
61,A.,Dead Air,2002,,Comedy
62,A.,Dead Air,2002,,Short
63,A.,Dead Air,2002,,Thriller
64,A.,Death of a Nation: The Timor Conspiracy,1994,6.4,Documentary
65,A.,Delayed Action,1954,5.2,Mystery
66,A.,Departure,2001,7.6,Drama
67,A.,"Desafio a la muerte, El",2001,,Animation
68,A.,"Desafio a la muerte, El",2001,,Short
69,A. (I),'Ostler Joe,1908,,Short
70,A. (I),17. mai - En film om ritualer,1969,,Short
71,A. (I),Armonie pucciniane,1938,,Short
72,A. (I),Bulsae,1997,2.4,Action
73,A. (I),Bulsae,1997,2.4,Thriller
74,A. (II),Amelia and the Angel,1957,2.6,Short
75,A. Charles,...Sub clar de luna,2002,,Comedy
76,A. Dean,Acting: Lee Strasberg and the Actors Studio,1981,,Documentary
77,A. Edward,"Dama de Chandor, A",1998,,Documentary
78,A. Jonathan,"Addio, mia bella Napoli!",1946,,Comedy
79,A. Karim,Black Mic Mac,1986,5.0,Comedy
80,A. Kondandarami,Climbing the Mountain,1947,,Short
81,A. Razak,Captain Power: The Beginning,1989,,Action
82,A. Razak,Captain Power: The Beginning,1989,,Sci-Fi
83,A.B.,"Bees, The",1978,3.1,Horror
84,A.B.,"Bees, The",1978,3.1,Thriller
85,A.B.,Burleska o Grku,1968,,Drama
86,A.B.,Convoi de femmes,1974,,Adventure
